"장소ID","장소명","도로명주소","위도","경도","등록일시","수정일시","지번주소","사용여부"
1223,"애월항, 애월해안도로","제주특별자치도 제주시 테우해안로 172-23",33.4668147,126.3219773,18/09/01,18/09/01,"제주특별자치도 제주시 이호동 1665-1","y"
1262,"마더카페","제주특별자치도 서귀포시 남원읍 태위로894번길 45",33.2810103,126.7412697,18/09/06,18/09/06,"제주특별자치도 서귀포시 남원읍 태흥리 1114-1","y"
1265,"우도","제주특별자치도 서귀포시 남원읍 남위남성로257번길 108",33.4955184,126.9584968,18/09/06,18/09/06,"제주특별자치도 제주시 우도면 연평리 356","y"
1263,"제주에서돌고래를만난다면펜션","제주특별자치도 제주시 구좌읍 해맞이해안로 1566",33.528446,126.8707754,18/09/06,18/09/06,"제주특별자치도 제주시 구좌읍 하도리 3089","y"
1266,"탐라스테이호텔","제주특별자치도 제주시 삼무로3길 18",33.4522352,126.3259321,18/09/06,18/09/06,"제주특별자치도 제주시 애월읍 애월리 862","y"
1267,"도착","제주특별자치도 서귀포시 남원읍 남위남성로257번길 108",33.5029521,126.4871616,18/09/06,18/09/06,"제주특별자치도 제주시 도두동 411","y"
1268,"풀향기휴양펜션","제주특별자치도 서귀포시 안덕면 대평감산로 59 풀향기휴양펜션",33.2392861,126.3654256,18/09/06,18/09/06,"제주특별자치도 서귀포시 안덕면 창천리 929-1","y"
1269,"제주국제공항","",33.5044325,126.4938144,18/09/06,18/09/06,"제주특별자치도 제주시 용담2동 1946","y"
1270,"제주공항","제주특별자치도 제주시 신성마을길 26",33.4960374,126.48862,18/09/06,18/09/06,"제주특별자치도 제주시 도두동 249-16","y"
1271,"1","제주특별자치도 제주시 공항로 2",33.5064594,126.4925468,18/09/06,18/09/06,"제주특별자치도 제주시 용담2동 2002","y"
1272,"성산썬라이즈호텔","제주특별자치도 서귀포시 성산중앙로19번길 11-1",33.4625069,126.9312151,18/09/07,18/09/07,"제주특별자치도 서귀포시 성산읍 성산리 169-18","y"
1273,"커큐민흑돼지","제주특별자치도 서귀포시 일출로 84",33.4499015,126.9211573,18/09/07,18/09/07,"제주특별자치도 서귀포시 성산읍 고성리 236","y"
1275,"호텔 윈스토리","제주특별자치도 서귀포시 중정로 11",33.2476936,126.5576142,18/09/09,18/09/09,"제주특별자치도 서귀포시 천지동 318-17","y"
993,"이호테우","제주특별자치도 제주시 공항로 2",33.4972404,126.4527803,18/08/05,18/08/05,"제주특별자치도 제주시 이호동 1962-5","y"
1002,"비행기","제주특별자치도 제주시 공항로 2",33.5067247,126.4932328,18/08/05,18/08/05,"제주특별자치도 제주시 용담2동 2002","y"
1004,"제주공항","제주특별자치도 제주시 공항로 2",33.5071498,126.4932451,18/08/06,18/08/06,"제주특별자치도 제주시 용담2동 2002","y"
1277,"제주한끼","제주특별자치도 제주시 서해안로 24",33.4998414,126.4568938,18/09/09,18/09/09,"제주특별자치도 제주시 이호동 440-7","y"
1122,"마린리조트 선상낚시","제주특별자치도 서귀포시 성산읍 성산등용로 112-7",33.4724521,126.9324203,18/08/17,18/08/17,"제주특별자치도 서귀포시 성산읍 성산리 347-9","y"
1276,"풍림다방","제주특별자치도 제주시 중산간동로 2254",33.4715727,126.7835833,18/09/09,18/09/09,"제주특별자치도 제주시 구좌읍 송당리 1373-1","y"
1279,"봉끄랑","제주특별자치도 제주시 우도면 우도해안길 144",33.4943139,126.9449449,18/09/09,18/09/09,"제주특별자치도 제주시 우도면 연평리 2649-1","y"
1285,"워터서커스","제주특별자치도 제주시 비자림로 1156-22",33.4230002,126.7457588,18/09/11,18/09/11,"제주특별자치도 제주시 구좌읍 송당리 산266","y"
1282,"리벤시아 호텔","",33.3767236,126.2170913,18/09/09,18/09/09,"제주특별자치도 제주시 한림읍 월령리 259-6","y"
1283,"크랩잭 제주","제주특별자치도 제주시 구엄4길 12",33.4812426,126.3775871,18/09/09,18/09/09,"제주특별자치도 제주시 애월읍 구엄리 645-1","y"
1286,"샐리스 제주 호텔","제주특별자치도 제주시 고내로 46",33.4646018,126.3417077,18/09/11,18/09/11,"제주특별자치도 제주시 애월읍 하가리 1258-1","y"
1287,"코코넛카페 jam&cafe","제주특별자치도 제주시 애월해안로 907",33.4848278,126.3924233,18/09/11,18/09/11,"제주특별자치도 제주시 애월읍 하귀2리 2707-2","y"
1288,"팔롬비니","제주특별자치도 제주시 서광로 112",33.4996316,126.5083711,18/09/11,18/09/11,"제주특별자치도 제주시 오라동 2401-46","y"
1289,"sd","",33.3178269,126.3783163,18/09/11,18/09/11,"제주특별자치도 서귀포시 안덕면 상천리 573","y"
1290,"제주공항","제주특별자치도 제주시 공항로 2",33.5067817,126.493146,18/09/12,18/09/12,"제주특별자치도 제주시 용담2동 2002","y"
1291,"투어센터","제주특별자치도 제주시 오일장서길 63",33.4970882,126.4719275,18/09/12,18/09/12,"제주특별자치도 제주시 도두동 2246-1","y"
1292,"모래비카페","제주특별자치도 제주시 해맞이해안로 462",33.5554432,126.7962005,18/09/12,18/09/12,"제주특별자치도 제주시 구좌읍 월정리 536-4","y"
1293,"산굼부리","제주특별자치도 제주시 해맞이해안로 462",33.4321356,126.6907335,18/09/12,18/09/12,"제주특별자치도 제주시 조천읍 교래리 산38-1","y"
1294,"스위스마을","제주특별자치도 제주시 함와로 566-27",33.4943534,126.677388,18/09/12,18/09/12,"제주특별자치도 제주시 조천읍 와산리 1559-18","y"
1295,"김녕미로공원","제주특별자치도 제주시 만장굴길 122",33.5364504,126.7722617,18/09/12,18/09/12,"제주특별자치도 제주시 구좌읍 김녕리 산16","y"
1296,"모두의식당","제주특별자치도 제주시 선교로 474-1",33.4633572,126.7104375,18/09/12,18/09/12,"제주특별자치도 제주시 조천읍 선흘리 1817","y"
1297,"제주 관광승마","제주특별자치도 제주시 비자림로 485-15",33.4301067,126.6660116,18/09/13,18/09/13,"제주특별자치도 제주시 조천읍 교래리 산119-1","y"
1298,"유어스호텔","제주특별자치도 서귀포시 천제연로178번길 21",33.2498681,126.4237303,18/09/13,18/09/13,"제주특별자치도 서귀포시 중문동 2129-2","y"
1299,"러브랜드","제주특별자치도 제주시 1100로 2894-64",33.4506648,126.4882863,18/09/14,18/09/14,"제주특별자치도 제주시 연동 680-24","y"
1300,"만장굴","제주특별자치도 제주시 1100로 2894-64",33.5263916,126.7734228,18/09/14,18/09/14,"제주특별자치도 제주시 구좌읍 행원리 3336","y"
1301,"월정암리","제주특별자치도 제주시 월정7길 28-8",33.5539935,126.7976665,18/09/14,18/09/14,"제주특별자치도 제주시 구좌읍 월정리 46","y"
1302,"교래향","제주특별자치도 제주시 명림로 584 절물휴양림",33.4350596,126.676317,18/09/15,18/09/15,"제주특별자치도 제주시 조천읍 교래리 산56-8","y"
1303,"대풍옥","제주특별자치도 서귀포시 일주동로 8737 선반내가든",33.2519616,126.554897,18/09/15,18/09/15,"제주특별자치도 서귀포시 천지동 332-3","y"
1304,"라곰","제주특별자치도 제주시 행원로1길 32-2",33.5546684,126.8000333,18/09/15,18/09/15,"제주특별자치도 제주시 구좌읍 행원리 1537-6","y"
1305,"스시마씸","제주특별자치도 제주시 월정3길 50",33.5551934,126.794531,18/09/15,18/09/15,"제주특별자치도 제주시 구좌읍 월정리 500-1","y"
1306,"식을탐하다","제주특별자치도 서귀포시 일출로 293",33.4635503,126.9345935,18/09/15,18/09/15,"제주특별자치도 서귀포시 성산읍 성산리 197-1","y"
1013,"환상숲곶자왈","",33.3227965,126.2632334,18/08/08,18/08/08,"제주특별자치도 제주시 한림읍 협재리 2514","y"
1003,"소다공","",33.4491064,126.8801188,18/08/05,18/08/05,"제주특별자치도 서귀포시 성산읍 성산리 1","y"
1018,"본태박물관","제주특별자치도 서귀포시 산록남로762번길 69 본태박물관",33.3037986,126.3924547,18/08/08,18/08/08,"제주특별자치도 서귀포시 안덕면 상천리 380","y"
1016,"산방산","제주특별자치도 서귀포시 추사로 44",33.2365326,126.3124676,18/08/08,18/08/08,"제주특별자치도 서귀포시 안덕면 사계리 3578","y"
1022,"세리월드","제주특별자치도 서귀포시 법환상로2번길 97-17 더 세리 리조트",33.2468156,126.5119171,18/08/08,18/08/08,"제주특별자치도 서귀포시 대륜동 877-1","y"
1031,"성산일출봉","제주특별자치도 서귀포시 일출로 86",33.4588605,126.9405234,18/08/08,18/08/08,"제주특별자치도 서귀포시 성산읍 성산리 1","y"
1034,"거문오름","제주특별자치도 서귀포시 일출로 86",33.4546759,126.7187123,18/08/08,18/08/08,"제주특별자치도 서귀포시 성산읍 성산리 1","y"
1036,"월정리 해변","제주특별자치도 서귀포시 일출로 86",33.5556309,126.7966744,18/08/08,18/08/08,"제주특별자치도 서귀포시 성산읍 성산리 1","y"
1037,"4.3 평화공원","제주특별자치도 서귀포시 일출로 86",33.4506326,126.6213995,18/08/08,18/08/08,"제주특별자치도 제주시 봉개동","y"
1038,"국립 제주 박물관","제주특별자치도 제주시 일주동로 17",33.5127775,126.5493278,18/08/08,18/08/08,"제주특별자치도 제주시 건입동 261","y"
1045,"공항","제주특별자치도 제주시 고성남4길 32-3",33.4749324,126.5055339,18/08/08,18/08/08,"제주특별자치도 제주시 오라동 산27","y"
1047,"베이비엔카","",33.499336,126.5023483,18/08/09,18/08/09,"제주특별자치도 제주시 용담2동 2786-1","y"
1109,"켄싱턴리조트","제주특별자치도 서귀포시 이어도로 684 켄싱턴리조트",33.2334751,126.4890776,18/08/14,18/08/14,"제주특별자치도 서귀포시 대천동 2677","y"
1084,"흑돼지 쌈밥","제주특별자치도 제주시 천수로 9-1 은영빌라",33.502694,126.5381997,18/08/11,18/08/11,"제주특별자치도 제주시 이도2동 323-3","y"
1086,"에밀리파크","",33.5249091,126.620612,18/08/11,18/08/11,"대한민국","y"
1102,"신제주시이마트","",33.4844801,126.5107082,18/08/14,18/08/14,"제주특별자치도 제주시 오라동 1815-2","y"
1106,"제주공항","제주특별자치도 제주시 다호길 103",33.5018427,126.4926865,18/08/14,18/08/14,"제주특별자치도 제주시 용담2동 1935-6","y"
1111,"켄싱턴리조트 체크인","제주특별자치도 서귀포시 이어도로 684 켄싱턴리조트",33.232566,126.4895174,18/08/14,18/08/14,"제주특별자치도 서귀포시 대천동 5647","y"
1112,"피규어뮤지엄","제주특별자치도 서귀포시 안덕면 한창로 243",33.2819311,126.3553991,18/08/15,18/08/15,"제주특별자치도 서귀포시 안덕면 상창리 1875-8","y"
1113,"하우목동포구","",33.5094463,126.9423835,18/08/15,18/08/15,"제주특별자치도 서귀포시 예래동","y"
1123,"가람돌솥밥","제주특별자치도 서귀포시 중문관광로 332 가람돌솥밥",33.2495532,126.4313247,18/08/17,18/08/17,"제주특별자치도 서귀포시 중문동 748","y"
1120,"제주공항","",33.5048603,126.4911012,18/08/17,18/08/17,"제주특별자치도 제주시 도두동 2607-29","y"
1136,"표선 칼국수","",33.3251196,126.8441138,18/08/17,18/08/17,"대한민국","y"
1128,"어승생","제주특별자치도 제주시 1100로 2070-61 한라산국립공원관리사무소",33.3914625,126.4944778,18/08/17,18/08/17,"제주특별자치도 제주시 노형동 산220-13","y"
1137,"용산제주유스호스텔","제주특별자치도 서귀포시 이어도로 305-1",33.2438761,126.4515615,18/08/17,18/08/17,"제주특별자치도 서귀포시 중문동 1715","y"
1139,"광평도새기촌 표선점","",33.3292999,126.8212356,18/08/17,18/08/17,"대한민국","y"
1144,"운정이네본점","",33.2634596,126.437676,18/08/18,18/08/18,"제주특별자치도 서귀포시 중문동 1239-3","y"
1155,"사무이제주 숙소","제주특별자치도 제주시 애월읍 부룡수길 38-24",33.4736702,126.3560938,18/08/21,18/08/21,"제주특별자치도 제주시 애월읍 신엄리 2860-2","y"
1161,"일식 소봉식당","제주특별자치도 서귀포시 성산읍 한도로 269-37",33.2466345,126.3028669,18/08/21,18/08/21,"제주특별자치도 서귀포시 안덕면 사계리 3578-30","y"
1165,"제주공항도착","제주특별자치도 제주시 공항로1길 20",33.499772,126.4935716,18/08/22,18/08/22,"제주특별자치도 제주시 용담2동 1901","y"
1166,"광해 갈치","제주특별자치도 제주시 애월읍 애월해안로 867",33.4877074,126.3903568,18/08/22,18/08/22,"제주특별자치도 제주시 애월읍 하귀2리 2740-8","y"
1167,"만장굴","제주특별자치도 제주시 애월읍 사라길 149",33.5276201,126.7711564,18/08/22,18/08/22,"제주특별자치도 제주시 애월읍 상가리 1623-3","y"
1172,"제주공항도착오후3시30분","제주특별자치도 제주시 공항로 2",33.5068577,126.492736,18/08/23,18/08/23,"제주특별자치도 제주시 용담2동 2002","y"
1066,"고성장터국밥","",33.4511366,126.9129639,18/08/10,18/08/10,"제주특별자치도 서귀포시 성산읍 고성리 1180-2","y"
1152,"용두암","제주특별자치도 제주시 공항로 2",33.5157864,126.5115739,18/08/20,18/08/20,"제주특별자치도 제주시 용담1동","y"
1153,"이익새양과점","",33.4068386,126.2651182,18/08/20,18/08/20,"제주특별자치도 제주시 한림읍 동명리 1576-6","y"
1174,"멜터블","",33.5020682,126.9446986,18/08/24,18/08/24,"제주특별자치도 제주시 우도면 연평리 2656","y"
1207,"점심식사(자율)","제주특별자치도 서귀포시 1100로 740-168 법정사",33.4599164,126.310624,18/08/28,18/08/28,"제주특별자치도 제주시 애월읍 애월리 2438","y"
1209,"아침식사(미정)","제주특별자치도 제주시 애월읍 애월로1길 25",33.4368917,126.6771702,18/08/28,18/08/28,"제주특별자치도 제주시 봉개동","y"
1212,"아침겸 점심(미정)","제주특별자치도 제주시 관덕로2길 19",33.4364728,126.6773943,18/08/29,18/08/29,"제주특별자치도 제주시 삼도2동 909","y"
1213,"저녁식사(칠돈가)","제주특별자치도 제주시 한천로 47",33.5026306,126.5104302,18/08/29,18/08/29,"제주특별자치도 제주시 용담2동 2621-3","y"
1225,"애월더선셋","제주특별자치도 제주시 애월읍 일주서로 6111",33.4562242,126.309022,18/09/01,18/09/01,"제주특별자치도 제주시 애월읍 곽지리 1381","y"
1227,"오셜록티","제주특별자치도 제주시 한림읍 광산로 836",33.3014488,126.2898672,18/09/01,18/09/01,"제주특별자치도 서귀포시 안덕면 서광리 2489-14","y"
1228,"오롯","",33.4907356,126.544025,18/09/01,18/09/01,"제주특별자치도 제주시 아라동 3011-8","y"
1230,"성이시돌목장","",33.3467855,126.3272941,18/09/02,18/09/02,"제주특별자치도 제주시 한림읍 금악리 135-1","y"
1231,"신창풍차해안도로","",33.3425365,126.1722288,18/09/02,18/09/02,"제주특별자치도 제주시 한경면 신창리 1341","y"
1232,"박물관은살아있다","제주특별자치도 서귀포시 중문관광로 42",33.2545853,126.4088998,18/09/02,18/09/02,"제주특별자치도 서귀포시 예래동 2629","y"
1233,"숙소","제주특별자치도 서귀포시 중앙로48번길 15",33.249308,126.5628874,18/09/02,18/09/02,"제주특별자치도 서귀포시 중앙동 276-6","y"
1234,"올레시장","제주특별자치도 서귀포시 중정로73번길 12-1",33.2491718,126.5640482,18/09/02,18/09/02,"제주특별자치도 서귀포시 중앙동 272-26","y"
1235,"천지연폭포","제주특별자치도 서귀포시 중정로73번길 12-1",33.2453381,126.5557974,18/09/02,18/09/02,"제주특별자치도 서귀포시 천지동 653-2","y"
1236,"부영호텔 체크아웃","제주특별자치도 서귀포시 중문관광로 216 제주부영리조트",33.2417954,126.4229709,18/09/02,18/09/02,"제주특별자치도 서귀포시 중문동 2700-3","y"
1237,"서귀포 올레시장","제주특별자치도 서귀포시 중문관광로 216 제주부영리조트",33.2493611,126.5639611,18/09/02,18/09/02,"제주특별자치도 서귀포시 중앙동 340","y"
1238,"이중섭거리","제주특별자치도 서귀포시 이중섭로 29-1",33.2453651,126.5643311,18/09/02,18/09/02,"제주특별자치도 서귀포시 정방동 513-1","y"
